group,score
A,0.33325931
A,0.097295207
A,0.172069714
A,0.580245801
B,0.927803805
A,0.395842335
A,0.255470343
A,0.45448531
B,0.308572705
B,0.987246684
A,0.237860748
A,0.342174287
B,0.572252247
A,0.163836945
B,0.820901275
A,0.011361671
A,0.674057127
B,0.981756825
A,0.151657865
A,0.189793387
B,0.277851424
A,0.253317939
A,0.370694642
A,0.011332788
A,0.935195383
B,0.993182537
A,0.66621209
B,0.76499814
A,0.210428447
A,0.917443069
A,0.016648442
B,0.992347243
B,0.353368809
A,0.804362054
A,0.749170689
B,0.271102799
A,0.519526971
A,0.291029749
A,0.963638408
A,0.038933572
A,0.599808956
B,0.362270304
B,0.738613534
B,0.191397167
A,0.513700959
B,0.768463246
A,0.180441034
B,0.746367899
A,0.393161979
A,0.702967243
B,0.081151716
A,0.110859169
B,0.624837651
B,0.275111819
B,0.887538219
A,0.667498285
A,0.970426828
A,0.039655262
A,0.826951107
A,0.180899825
B,0.609435983
B,0.78126466
A,0.657430703
A,0.794028551
A,0.149801656
A,0.264462945
B,0.469732245
B,0.256309275
B,0.484966211
B,0.471386025
A,0.077369071
B,0.799455704
B,0.968263661
A,0.359867776
A,0.081975128
A,0.904964894
B,0.201487746
B,0.136019092
B,0.15826867
A,0.126112214
B,0.73840392
A,0.06944729
A,0.587234249
A,0.144028799
B,0.537842379
B,0.730356163
B,0.950536757
A,0.753677744
B,0.071385226
A,0.722462786
A,0.071911426
B,0.577501775
B,0.208065914
A,0.097518621
B,0.077912594
B,0.917864214
A,0.877853208
B,0.31077455
B,0.132713747
B,0.651693527
A,0.191451636
A,0.412104463
B,0.433601905
B,0.148167067
A,0.172345205
B,0.935826021
A,0.672118172
A,0.07667284
A,0.876134704
A,0.12749927
B,0.693215607
B,0.930164247
A,0.17312224
A,0.962028891
A,0.410791454
A,0.508675235
B,0.164722651
A,0.877194537
A,0.01326612
B,0.141890793
B,0.14296052
A,0.800347969
B,0.06306393
A,0.151132521
B,0.883280068
B,0.87919156
B,0.495595988
B,0.591628767
A,0.440950089
A,0.03482437
A,0.896066315
B,0.902987223
A,0.914043082
A,0.840944668
A,0.641976897
A,0.722452412
A,0.390421136
B,0.659754921
B,0.351692003
B,0.253892573
A,0.336877377
B,0.895604765
A,0.621396099
A,0.778150697
A,0.410623652
A,0.712351758
B,0.853788428
B,0.989957987
A,0.423589974
B,0.318305959
A,0.812819333
A,0.794559114
A,0.710449162
A,0.295078097
B,0.868073659
A,0.289113776
A,0.831827983
B,0.789298298
B,0.380483852
B,0.936865944
A,0.032250732
A,0.052660002
B,0.736149737
A,0.824839353
B,0.737388941
A,0.771444217
A,0.013963053
A,0.515061445
B,0.754054519
A,0.419988649
A,0.061134112
A,0.81288561
A,0.634046798
B,0.216506946
A,0.298529878
A,0.249567381
A,0.97900201
B,0.829533126
A,0.65242747
B,0.399691815
B,0.733200393
A,0.749996768
A,0.232117439
B,0.143990725
A,0.027499253
A,0.148229999
A,0.564671857
B,0.511694236
A,0.942711083
A,0.748858487
B,0.941415359
B,0.920830746
B,0.408419623
A,0.17082848
A,0.452644087
A,0.543245766
B,0.768505702
B,0.704225262
B,0.935246141
A,0.878438793
A,0.928752584
A,0.267810525
B,0.345379777
B,0.400748835
